policy_name,command,roles,using_expression,with_check_expression,schema_name,table_name
customer_delete_by_user_no_team,d,16481,((customer_record_by_user_id = auth.uid()) AND (customer_record_by_team_id IS NULL)),null,public,customers
customers_private_insert,a,16481,null,((customer_record_by_user_id = auth.uid()) AND (customer_record_by_team_id IS NULL)),public,customers
customers_private_select,r,16481,((customer_record_by_user_id = auth.uid()) AND (customer_record_by_team_id IS NULL)),null,public,customers
customers_private_update,w,16481,((customer_record_by_user_id = auth.uid()) AND (customer_record_by_team_id IS NULL)),null,public,customers
customers_team_delete_leaders_only,d,16481,"((customer_record_by_team_id IS NOT NULL) AND (EXISTS ( SELECT 1
   FROM team_members
  WHERE ((team_members.team_id = customers.customer_record_by_team_id) AND (team_members.user_id = auth.uid()) AND (team_members.status = 'active'::text) AND (team_members.role = ANY (ARRAY['leader'::text, 'co-leader'::text]))))))",null,public,customers
customers_team_insert_all_roles,a,16481,null,"((customer_record_by_team_id IS NOT NULL) AND (EXISTS ( SELECT 1
   FROM team_members
  WHERE ((team_members.team_id = customers.customer_record_by_team_id) AND (team_members.user_id = auth.uid()) AND (team_members.status = 'active'::text) AND (team_members.role = ANY (ARRAY['leader'::text, 'co-leader'::text, 'member'::text]))))))",public,customers
customers_team_select_all_roles,r,16481,"((customer_record_by_team_id IS NOT NULL) AND (EXISTS ( SELECT 1
   FROM team_members
  WHERE ((team_members.team_id = customers.customer_record_by_team_id) AND (team_members.user_id = auth.uid()) AND (team_members.status = 'active'::text) AND (team_members.role = ANY (ARRAY['leader'::text, 'co-leader'::text, 'member'::text]))))))",null,public,customers
customers_team_update_all_roles,w,16481,"((customer_record_by_team_id IS NOT NULL) AND (EXISTS ( SELECT 1
   FROM team_members
  WHERE ((team_members.team_id = customers.customer_record_by_team_id) AND (team_members.user_id = auth.uid()) AND (team_members.status = 'active'::text) AND (team_members.role = ANY (ARRAY['leader'::text, 'co-leader'::text, 'member'::text]))))))",null,public,customers
Users manage items via orders,*,0,"(EXISTS ( SELECT 1
   FROM orders
  WHERE ((orders.order_id = order_items.order_id) AND (((orders.order_record_by_user_id = auth.uid()) AND (orders.order_record_by_team_id IS NULL)) OR (orders.order_record_by_team_id IN ( SELECT team_members.team_id
           FROM team_members
          WHERE ((team_members.user_id = auth.uid()) AND (team_members.status = 'active'::text))))))))",null,public,order_items
order_items_delete_via_orders,d,16481,"(EXISTS ( SELECT 1
   FROM orders o
  WHERE ((o.order_id = order_items.order_id) AND (o.order_record_by_user_id = ( SELECT auth.uid() AS uid)))))",null,public,order_items
